nivel;id_inscripcion;genero;municipio;departamento;aprobo;discapacidad;edad;rango;categoria
Profesional;187.877.760;M;Monteria;Cordoba;NO;NO;30;18  A 30;JOVEN
Profesional;861.912.826;F;Medellin;Antioquia;NO;NO;41;41 A 50;ADULTO
Profesional;356.072.173;F;Neiva;Huila;NO;NO;40;31 a 40;ADULTO JOVEN
Profesional;576.090.170;F;Monteria;Cordoba;NO;NO;25;18  A 30;JOVEN
Profesional;237.743.182;M;Bogota;Bogota;NO;NO;43;41 A 50;ADULTO
Profesional;84.932.047;M;Bogota;Bogota;NO;NO;42;41 A 50;ADULTO
Profesional;827.870.813;M;Manizales;Caldas;SI;NO;37;31 a 40;ADULTO JOVEN
Profesional;652.167.472;F;Bogota;Bogota;SI;NO;47;41 A 50;ADULTO
Tecnico;798.675.746;F;Bogota;Bogota;NO;NO;31;31 a 40;ADULTO JOVEN
Profesional;397.645.474;F;Bogota;Bogota;NO;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;158.805.654;F;Valledupar;Cesar;NO;SI;22;18  A 30;JOVEN
Tecnico;641.366.544;F;Cali;Valle del Cauca;NO;NO;28;18  A 30;JOVEN
Profesional;922.696.846;F;Pasto;Narino;NO;NO;21;18  A 30;JOVEN
Profesional;721.171.124;M;Armenia;Quindio;NO;NO;42;41 A 50;ADULTO
Asistencial;848.326.422;F;Monteria;Cordoba;NO;NO;25;18  A 30;JOVEN
Asistencial;586.803.312;M;Bucaramanga;Santander;SI;NO;49;41 A 50;ADULTO
Tecnico;580.547.876;M;Bogota;Bogota;NO;NO;49;41 A 50;ADULTO
Tecnico;754.668.986;F;Cartagena De Indias;Bolivar;NO;NO;18;18  A 30;JOVEN
Profesional;430.814.128;F;Cartagena De Indias;Bolivar;NO;NO;22;18  A 30;JOVEN
Profesional;144.600.952;M;Popayan;Cauca;NO;NO;48;41 A 50;ADULTO
Profesional;95.237.185;M;Bogota;Bogota;NO;NO;30;18  A 30;JOVEN
Profesional;532.049.007;F;Barranquilla;Atlantico;NO;NO;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;884.839.555;M;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Asistencial;220.759.442;F;Villavicencio;Meta;NO;NO;19;18  A 30;JOVEN
Profesional;153.323.906;M;Florencia;Caqueta;NO;NO;42;41 A 50;ADULTO
Profesional;508.752.291;F;Bogota;Bogota;SI;NO;30;18  A 30;JOVEN
Asistencial;843.133.815;F;Medellin;Antioquia;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Asistencial;71.986.178;M;Bogota;Bogota;NO;NO;19;18  A 30;JOVEN
Profesional;568.257.690;M;Monteria;Cordoba;NO;NO;18;18  A 30;JOVEN
Asistencial;227.489.281;M;Palmira;Valle del Cauca;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Profesional;719.227.957;F;Armenia;Quindio;NO;NO;21;18  A 30;JOVEN
Profesional;538.418.859;F;Barranquilla;Atlantico;NO;NO;59;51 EN ADELANTE;ADULTO MAYOR
Asistencial;412.779.749;F;Manizales;Caldas;NO;NO;26;18  A 30;JOVEN
Tecnico;419.243.037;M;Armenia;Quindio;NO;NO;54;51 EN ADELANTE;ADULTO MAYOR
Profesional;237.114.612;F;Monteria;Cordoba;NO;NO;34;31 a 40;ADULTO JOVEN
Asistencial;909.635.093;M;Medellin;Antioquia;NO;NO;39;31 a 40;ADULTO JOVEN
Profesional;503.294.286;M;Bogota;Bogota;NO;NO;28;18  A 30;JOVEN
Profesional;217.589.970;F;Valledupar;Cesar;NO;NO;28;18  A 30;JOVEN
Asistencial;354.187.223;M;Bogota;Bogota;NO;NO;37;31 a 40;ADULTO JOVEN
Profesional;65.245.693;F;Medellin;Antioquia;NO;NO;45;41 A 50;ADULTO
Asistencial;609.367.457;M;Bogota;Bogota;NO;NO;59;51 EN ADELANTE;ADULTO MAYOR
Asistencial;572.472.142;F;Bogota;Bogota;NO;NO;32;31 a 40;ADULTO JOVEN
Profesional;840.097.384;L;Popayan;Cauca;NO;NO;30;18  A 30;JOVEN
Asistencial;904.777.227;M;Puerto Carreño;Vichada;NO;NO;38;31 a 40;ADULTO JOVEN
Tecnico;611.664.661;M;Bogota;Bogota;NO;NO;25;18  A 30;JOVEN
Profesional;320.067.119;F;Bogota;Bogota;NO;NO;39;31 a 40;ADULTO JOVEN
Asistencial;142.106.431;M;Bogota;Bogota;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Asistencial;821.341.331;M;Manizales;Caldas;NO;NO;43;41 A 50;ADULTO
Profesional;744.294.692;M;Medellin;Antioquia;NO;NO;46;41 A 50;ADULTO
Profesional;118.756.080;F;Barranquilla;Atlantico;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Tecnico;666.052.611;F;Bucaramanga;Santander;NO;NO;24;18  A 30;JOVEN
Profesional;762.563.793;M;Bogota;Bogota;NO;NO;25;18  A 30;JOVEN
Profesional;36.209.590;M;Medellin;Antioquia;NO;NO;45;41 A 50;ADULTO
Asistencial;276.964.317;F;Villavicencio;Meta;NO;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;154.847.119;M;Bogota;Bogota;NO;NO;30;18  A 30;JOVEN
Asistencial;634.240.205;F;Bogota;Bogota;NO;NO;37;31 a 40;ADULTO JOVEN
Asistencial;893.662.625;F;Cartagena De Indias;Bolivar;NO;NO;56;51 EN ADELANTE;ADULTO MAYOR
Profesional;839.254.510;F;Bogota;Bogota;NO;NO;58;51 EN ADELANTE;ADULTO MAYOR
Tecnico;474.536.873;M;Pasto;Narino;SI;NO;32;31 a 40;ADULTO JOVEN
Profesional;757.231.518;M;Bogota;Bogota;NO;NO;59;51 EN ADELANTE;ADULTO MAYOR
Profesional;91.618.820;M;Bogota;Bogota;SI;NO;45;41 A 50;ADULTO
Profesional;472.926.252;F;Pasto;Narino;NO;NO;22;18  A 30;JOVEN
Profesional;381.913.159;M;Sincelejo;Sucre;NO;NO;38;31 a 40;ADULTO JOVEN
Asistencial;11.656.799;F;Cucuta;Norte de Santander;NO;NO;23;18  A 30;JOVEN
Asistencial;746.023.167;M;Armenia;Quindio;NO;NO;23;18  A 30;JOVEN
Profesional;375.930.472;F;Ibague;Tolima;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Tecnico;688.309.183;M;Bogota;Bogota;NO;NO;41;41 A 50;ADULTO
Profesional;74.102.875;F;Manizales;Caldas;NO;NO;37;31 a 40;ADULTO JOVEN
Profesional;701.174.628;F;Medellin;Antioquia;NO;NO;33;31 a 40;ADULTO JOVEN
Profesional;890.656.843;F;Cali;Valle del Cauca;NO;NO;42;41 A 50;ADULTO
Asistencial;277.997.292;F;Bogota;Bogota;NO;NO;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;130.181.227;M;Bogota;Bogota;NO;NO;24;18  A 30;JOVEN
Profesional;483.933.670;M;Ibague;Tolima;NO;NO;38;31 a 40;ADULTO JOVEN
Profesional;774.875.293;M;Medellin;Antioquia;NO;NO;46;41 A 50;ADULTO
Profesional;964.257.501;M;Bogota;Bogota;NO;NO;53;51 EN ADELANTE;ADULTO MAYOR
Asistencial;114.651.016;M;Bogota;Bogota;NO;NO;40;31 a 40;ADULTO JOVEN
Tecnico;959.503.888;F;Bogota;Bogota;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;749.420.457;M;Armenia;Quindio;SI;NO;41;41 A 50;ADULTO
Asistencial;868.223.146;F;Cartagena De Indias;Bolivar;NO;NO;21;18  A 30;JOVEN
Profesional;230.310.213;F;Medellin;Antioquia;SI;NO;46;41 A 50;ADULTO
Profesional;571.212.965;M;Bogota;Bogota;NO;NO;30;18  A 30;JOVEN
Asistencial;438.876.341;M;Cali;Valle del Cauca;NO;NO;40;31 a 40;ADULTO JOVEN
Profesional;972.506.363;M;Popayan;Cauca;NO;NO;20;18  A 30;JOVEN
Profesional;446.644.861;M;Girardot;Cundinamarca;NO;NO;39;31 a 40;ADULTO JOVEN
Profesional;76.347.167;M;Medellin;Antioquia;NO;NO;29;18  A 30;JOVEN
Tecnico;130.068.896;M;Medellin;Antioquia;NO;NO;34;31 a 40;ADULTO JOVEN
Profesional;468.282.913;F;Barrancabermeja;Santander;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Tecnico;621.420.414;F;Tunja;Boyaca;NO;NO;22;18  A 30;JOVEN
Profesional;782.458.718;F;Villavicencio;Meta;NO;NO;20;18  A 30;JOVEN
Profesional;267.430.634;F;Medellin;Antioquia;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;279.356.150;F;Bogota;Bogota;NO;NO;36;31 a 40;ADULTO JOVEN
Profesional;990.143.802;M;Buenaventura;Valle del Cauca;NO;NO;27;18  A 30;JOVEN
Profesional;94.345.586;M;Santa Marta;Magdalena;NO;NO;29;18  A 30;JOVEN
Profesional;61.315.326;F;Bogota;Bogota;NO;NO;26;18  A 30;JOVEN
Asistencial;129.776.991;F;Cali;Valle del Cauca;NO;NO;47;41 A 50;ADULTO
Asistencial;702.078.072;M;Cali;Valle del Cauca;NO;NO;37;31 a 40;ADULTO JOVEN
Asistencial;972.332.787;M;Cucuta;Norte de Santander;NO;NO;34;31 a 40;ADULTO JOVEN
Asistencial;942.918.032;F;Bogota;Bogota;NO;NO;48;41 A 50;ADULTO
Tecnico;881.761.694;M;Valledupar;Cesar;NO;NO;46;41 A 50;ADULTO
Profesional;132.926.794;F;Cali;Valle del Cauca;NO;NO;44;41 A 50;ADULTO
Profesional;737.318.115;M;Bogota;Bogota;SI;NO;21;18  A 30;JOVEN
Profesional;486.824.660;F;Sincelejo;Sucre;NO;NO;35;31 a 40;ADULTO JOVEN
Profesional;374.169.109;M;Cartagena De Indias;Bolivar;NO;NO;22;18  A 30;JOVEN
Profesional;921.374.977;F;Cali;Valle del Cauca;SI;NO;19;18  A 30;JOVEN
Profesional;655.712.557;M;Palmira;Valle del Cauca;NO;NO;30;18  A 30;JOVEN
Profesional;666.615.271;F;Bogota;Bogota;NO;NO;25;18  A 30;JOVEN
Profesional;397.639.201;F;Cartagena De Indias;Bolivar;NO;NO;48;41 A 50;ADULTO
Profesional;564.083.686;F;Armenia;Quindio;SI;NO;55;51 EN ADELANTE;ADULTO MAYOR
Profesional;893.569.944;M;Palmira;Valle del Cauca;NO;NO;58;51 EN ADELANTE;ADULTO MAYOR
Profesional;35.860.977;F;Quibdo;Choco;NO;NO;45;41 A 50;ADULTO
Profesional;647.582.402;M;Sincelejo;Sucre;NO;NO;20;18  A 30;JOVEN
Asistencial;951.573.313;F;Sincelejo;Sucre;NO;NO;20;18  A 30;JOVEN
Profesional;559.888.931;F;Cartagena De Indias;Bolivar;NO;NO;24;18  A 30;JOVEN
Profesional;281.358.038;M;Popayan;Cauca;NO;NO;19;18  A 30;JOVEN
Profesional;312.754.997;M;Cartagena De Indias;Bolivar;NO;NO;40;31 a 40;ADULTO JOVEN
Profesional;166.756.712;M;Sogamoso;Boyaca;SI;NO;59;51 EN ADELANTE;ADULTO MAYOR
Profesional;131.684.610;F;Bogota;Bogota;SI;NO;49;41 A 50;ADULTO
Profesional;707.368.314;F;Yopal;Casanare;NO;NO;31;31 a 40;ADULTO JOVEN
Profesional;557.031.806;M;Bogota;Bogota;SI;NO;32;31 a 40;ADULTO JOVEN
Asistencial;350.715.805;F;Buenaventura;Valle del Cauca;NO;NO;26;18  A 30;JOVEN
Profesional;206.561.001;F;Bucaramanga;Santander;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Profesional;576.489.787;F;Medellin;Antioquia;NO;NO;33;31 a 40;ADULTO JOVEN
Profesional;898.994.398;M;Bogota;Bogota;NO;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;738.900.577;F;Bogota;Bogota;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Profesional;794.206.909;M;Tulua;Valle del Cauca;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;147.005.968;M;Popayan;Cauca;NO;NO;35;31 a 40;ADULTO JOVEN
Profesional;563.710.633;F;Bogota;Bogota;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Asistencial;842.386.699;M;Bogota;Bogota;NO;NO;43;41 A 50;ADULTO
Profesional;320.226.322;F;Bucaramanga;Santander;NO;NO;29;18  A 30;JOVEN
Asistencial;552.623.016;M;Monteria;Cordoba;NO;NO;48;41 A 50;ADULTO
Profesional;119.517.225;F;Medellin;Antioquia;NO;NO;42;41 A 50;ADULTO
Profesional;612.815.672;F;Bucaramanga;Santander;NO;NO;33;31 a 40;ADULTO JOVEN
Profesional;575.737.891;M;Bogota;Bogota;NO;NO;53;51 EN ADELANTE;ADULTO MAYOR
Asistencial;764.320.801;F;Bogota;Bogota;NO;NO;32;31 a 40;ADULTO JOVEN
Profesional;885.744.457;M;Ibague;Tolima;NO;NO;34;31 a 40;ADULTO JOVEN
Asistencial;234.825.062;M;Medellin;Antioquia;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;52.202.102;F;Ibague;Tolima;SI;NO;28;18  A 30;JOVEN
Profesional;608.806.711;F;Bogota;Bogota;NO;NO;27;18  A 30;JOVEN
Profesional;542.353.113;F;Tulua;Valle del Cauca;NO;NO;36;31 a 40;ADULTO JOVEN
Profesional;693.247.481;F;Bogota;Bogota;NO;NO;20;18  A 30;JOVEN
Profesional;310.020.462;F;Bucaramanga;Santander;NO;NO;20;18  A 30;JOVEN
Profesional;134.835.212;M;Cartagena De Indias;Bolivar;NO;NO;48;41 A 50;ADULTO
Asistencial;33.993.231;M;Cali;Valle del Cauca;NO;NO;44;41 A 50;ADULTO
Profesional;982.089.614;F;Bogota;Bogota;SI;NO;46;41 A 50;ADULTO
Profesional;995.385.454;F;Barrancabermeja;Santander;NO;NO;27;18  A 30;JOVEN
Asistencial;417.940.884;F;Cali;Valle del Cauca;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Profesional;14.932.619;F;Yopal;Casanare;NO;NO;44;41 A 50;ADULTO
Asistencial;868.732.472;M;Sincelejo;Sucre;NO;NO;23;18  A 30;JOVEN
Profesional;156.521.106;F;Bogota;Bogota;NO;NO;29;18  A 30;JOVEN
Profesional;24.262.139;M;Cali;Valle del Cauca;NO;NO;25;18  A 30;JOVEN
Tecnico;711.214.479;M;Barranquilla;Atlantico;NO;NO;38;31 a 40;ADULTO JOVEN
Profesional;722.930.256;M;Bogota;Bogota;NO;NO;28;18  A 30;JOVEN
Asistencial;32.993.377;M;Bogota;Bogota;NO;NO;43;41 A 50;ADULTO
Profesional;376.110.874;F;Sogamoso;Boyaca;NO;NO;43;41 A 50;ADULTO
Profesional;573.890.182;F;Villavicencio;Meta;NO;NO;34;31 a 40;ADULTO JOVEN
Profesional;236.531.301;M;Bogota;Bogota;NO;NO;29;18  A 30;JOVEN
Profesional;995.008.952;F;Bogota;Bogota;NO;NO;35;31 a 40;ADULTO JOVEN
Profesional;17.445.311;F;Medellin;Antioquia;SI;NO;56;51 EN ADELANTE;ADULTO MAYOR
Profesional;857.684.094;M;Bogota;Bogota;NO;NO;20;18  A 30;JOVEN
Profesional;571.988.463;M;Armenia;Quindio;NO;NO;41;41 A 50;ADULTO
Profesional;6.001.834;M;Medellin;Antioquia;NO;NO;39;31 a 40;ADULTO JOVEN
Profesional;323.179.730;M;Neiva;Huila;NO;NO;27;18  A 30;JOVEN
Tecnico;193.822.900;F;Sincelejo;Sucre;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Tecnico;983.628.014;F;Bogota;Bogota;NO;SI;55;51 EN ADELANTE;ADULTO MAYOR
Profesional;258.771.705;M;Ipiales;Narino;NO;SI;48;41 A 50;ADULTO
Profesional;727.413.805;F;Cartagena De Indias;Bolivar;NO;NO;30;18  A 30;JOVEN
Profesional;358.938.796;F;Cartagena De Indias;Bolivar;SI;NO;29;18  A 30;JOVEN
Profesional;949.036.711;M;Bogota;Bogota;NO;NO;38;31 a 40;ADULTO JOVEN
Asistencial;265.481.012;M;Monteria;Cordoba;NO;NO;47;41 A 50;ADULTO
Profesional;323.514.355;F;Medellin;Antioquia;NO;NO;57;51 EN ADELANTE;ADULTO MAYOR
Tecnico;418.009.158;M;Pereira;Risaralda;SI;NO;25;18  A 30;JOVEN
Profesional;804.363.433;M;Cartagena De Indias;Bolivar;NO;NO;57;51 EN ADELANTE;ADULTO MAYOR
Asistencial;442.232.631;F;Cali;Valle del Cauca;NO;NO;34;31 a 40;ADULTO JOVEN
Asistencial;850.097.600;M;Bogota;Bogota;NO;NO;21;18  A 30;JOVEN
Profesional;653.949.271;F;Bucaramanga;Santander;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Tecnico;888.951.715;M;Bogota;Bogota;NO;NO;18;18  A 30;JOVEN
Tecnico;252.232.973;F;Bogota;Bogota;NO;NO;47;41 A 50;ADULTO
Tecnico;97.994.202;F;Bucaramanga;Santander;NO;NO;24;18  A 30;JOVEN
Profesional;64.463.007;M;Bogota;Bogota;NO;NO;49;41 A 50;ADULTO
Profesional;262.218.585;M;Sogamoso;Boyaca;NO;NO;34;31 a 40;ADULTO JOVEN
Profesional;487.829.678;F;Cali;Valle del Cauca;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Tecnico;458.437.659;M;Barranquilla;Atlantico;NO;NO;48;41 A 50;ADULTO
Profesional;65.220.190;M;Cartagena De Indias;Bolivar;NO;NO;56;51 EN ADELANTE;ADULTO MAYOR
Asistencial;208.432.604;F;Bucaramanga;Santander;NO;NO;49;41 A 50;ADULTO
Tecnico;240.837.555;M;Bogota;Bogota;NO;NO;43;41 A 50;ADULTO
Profesional;377.381.511;F;Bogota;Bogota;NO;NO;21;18  A 30;JOVEN
Asistencial;893.981.240;F;Bogota;Bogota;NO;NO;39;31 a 40;ADULTO JOVEN
Asistencial;589.544.354;F;Pereira;Risaralda;NO;NO;35;31 a 40;ADULTO JOVEN
Asistencial;981.218.947;M;Sincelejo;Sucre;NO;NO;54;51 EN ADELANTE;ADULTO MAYOR
Profesional;467.564.761;M;Manizales;Caldas;NO;NO;29;18  A 30;JOVEN
Profesional;415.872.922;M;Bogota;Bogota;NO;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;812.311.762;M;Bogota;Bogota;NO;NO;56;51 EN ADELANTE;ADULTO MAYOR
Asistencial;867.731.192;M;Monteria;Cordoba;NO;NO;29;18  A 30;JOVEN
Profesional;271.699.208;M;Valledupar;Cesar;NO;NO;37;31 a 40;ADULTO JOVEN
Profesional;139.160.504;M;Bogota;Bogota;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;314.290.360;F;Cartagena De Indias;Bolivar;NO;NO;38;31 a 40;ADULTO JOVEN
Tecnico;522.282.649;M;Cartagena De Indias;Bolivar;SI;NO;58;51 EN ADELANTE;ADULTO MAYOR
Asistencial;561.192.403;M;Monteria;Cordoba;NO;NO;38;31 a 40;ADULTO JOVEN
Profesional;412.188.295;F;Sogamoso;Boyaca;NO;NO;27;18  A 30;JOVEN
Asistencial;943.068.253;F;Bogota;Bogota;NO;NO;30;18  A 30;JOVEN
Profesional;709.832.758;F;Bogota;Bogota;NO;NO;30;18  A 30;JOVEN
Asistencial;64.018.805;F;Neiva;Huila;NO;NO;24;18  A 30;JOVEN
Profesional;199.511.403;M;Medellin;Antioquia;NO;NO;22;18  A 30;JOVEN
Profesional;4.177.056;F;Medellin;Antioquia;NO;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;221.808.047;F;Neiva;Huila;NO;NO;21;18  A 30;JOVEN
Profesional;528.266.806;M;Bogota;Bogota;NO;NO;41;41 A 50;ADULTO
Tecnico;948.422.931;M;Cartagena De Indias;Bolivar;NO;NO;30;18  A 30;JOVEN
Profesional;988.541.454;F;Santa Marta;Magdalena;NO;NO;22;18  A 30;JOVEN
Profesional;60.839.838;M;Bogota;Bogota;NO;NO;30;18  A 30;JOVEN
Tecnico;471.171.419;M;Monteria;Cordoba;NO;NO;50;41 A 50;ADULTO
Profesional;907.221.307;F;Bogota;Bogota;NO;NO;23;18  A 30;JOVEN
Profesional;21.249.033;F;Barrancabermeja;Santander;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Profesional;566.704.811;M;Quibdo;Choco;NO;NO;46;41 A 50;ADULTO
Asistencial;711.920.764;F;Bogota;Bogota;SI;NO;49;41 A 50;ADULTO
Asistencial;13.118.271;M;Villavicencio;Meta;NO;NO;45;41 A 50;ADULTO
Profesional;155.061.538;M;Medellin;Antioquia;SI;NO;51;51 EN ADELANTE;ADULTO MAYOR
Profesional;672.102.034;F;Medellin;Antioquia;SI;NO;43;41 A 50;ADULTO
Asistencial;415.932.102;F;Cucuta;Norte de Santander;NO;NO;49;41 A 50;ADULTO
Profesional;214.673.820;M;Cartagena De Indias;Bolivar;NO;NO;46;41 A 50;ADULTO
Tecnico;530.301.441;M;Cali;Valle del Cauca;SI;NO;40;31 a 40;ADULTO JOVEN
Asistencial;122.780.171;F;Pereira;Risaralda;NO;NO;45;41 A 50;ADULTO
Profesional;509.416.337;M;Bogota;Bogota;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Tecnico;424.671.469;M;Bogota;Bogota;NO;NO;22;18  A 30;JOVEN
Profesional;129.417.449;F;Bogota;Bogota;NO;NO;59;51 EN ADELANTE;ADULTO MAYOR
Profesional;556.600.772;F;Bogota;Bogota;NO;NO;18;18  A 30;JOVEN
Asistencial;771.606.055;F;Tumaco;Narino;NO;NO;34;31 a 40;ADULTO JOVEN
Tecnico;189.522.218;M;Sincelejo;Sucre;NO;NO;47;41 A 50;ADULTO
Tecnico;834.490.188;F;Bogota;Bogota;NO;NO;36;31 a 40;ADULTO JOVEN
Asistencial;559.014.797;F;Bogota;Bogota;NO;SI;31;31 a 40;ADULTO JOVEN
Tecnico;477.365.822;F;Bogota;Bogota;NO;NO;19;18  A 30;JOVEN
Profesional;561.490.379;F;Ibague;Tolima;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Profesional;207.998.514;M;Barranquilla;Atlantico;NO;NO;56;51 EN ADELANTE;ADULTO MAYOR
Profesional;271.616.519;M;Villavicencio;Meta;NO;NO;46;41 A 50;ADULTO
Profesional;963.798.240;F;Ibague;Tolima;NO;NO;27;18  A 30;JOVEN
Profesional;446.582.692;M;Villavicencio;Meta;NO;NO;18;18  A 30;JOVEN
Asistencial;324.399.061;F;Bogota;Bogota;NO;NO;40;31 a 40;ADULTO JOVEN
Profesional;233.438.289;M;Bogota;Bogota;NO;NO;51;51 EN ADELANTE;ADULTO MAYOR
Tecnico;37.028.445;F;Cartagena De Indias;Bolivar;NO;NO;32;31 a 40;ADULTO JOVEN
Profesional;470.073.735;M;Cartagena De Indias;Bolivar;NO;NO;27;18  A 30;JOVEN
Asistencial;331.766.006;M;Manizales;Caldas;NO;NO;56;51 EN ADELANTE;ADULTO MAYOR
Profesional;372.638.429;M;Cali;Valle del Cauca;NO;NO;25;18  A 30;JOVEN
Profesional;393.087.322;F;Bogota;Bogota;NO;NO;56;51 EN ADELANTE;ADULTO MAYOR
Asistencial;145.675.153;M;Sogamoso;Boyaca;NO;SI;23;18  A 30;JOVEN
Profesional;115.665.430;F;Riohacha;La Guajira;SI;NO;38;31 a 40;ADULTO JOVEN
Profesional;935.309.987;M;Bogota;Bogota;SI;NO;54;51 EN ADELANTE;ADULTO MAYOR
Profesional;348.963.819;F;Monteria;Cordoba;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Tecnico;405.364.731;F;Bogota;Bogota;NO;NO;58;51 EN ADELANTE;ADULTO MAYOR
Asistencial;157.422.062;M;Cartagena De Indias;Bolivar;NO;NO;57;51 EN ADELANTE;ADULTO MAYOR
Profesional;997.030.321;F;Bogota;Bogota;NO;NO;24;18  A 30;JOVEN
Profesional;615.844.411;M;Barranquilla;Atlantico;NO;NO;24;18  A 30;JOVEN
Profesional;362.192.980;F;Cali;Valle del Cauca;NO;NO;58;51 EN ADELANTE;ADULTO MAYOR
Profesional;451.619.945;M;Tulua;Valle del Cauca;NO;NO;44;41 A 50;ADULTO
Tecnico;932.717.354;M;Neiva;Huila;NO;NO;18;18  A 30;JOVEN
Asistencial;91.517.373;F;Bogota;Bogota;NO;NO;22;18  A 30;JOVEN
Tecnico;599.909.203;F;Bogota;Bogota;NO;NO;33;31 a 40;ADULTO JOVEN
Tecnico;429.488.649;F;Bogota;Bogota;NO;NO;38;31 a 40;ADULTO JOVEN
Profesional;719.842.761;M;Bogota;Bogota;SI;NO;60;51 EN ADELANTE;ADULTO MAYOR
Profesional;890.914.208;M;Tulua;Valle del Cauca;NO;NO;28;18  A 30;JOVEN
Profesional;304.022.085;F;Popayan;Cauca;NO;NO;33;31 a 40;ADULTO JOVEN
Profesional;941.519.042;M;Cartagena De Indias;Bolivar;NO;NO;46;41 A 50;ADULTO
Profesional;597.101.119;M;Bogota;Bogota;NO;NO;46;41 A 50;ADULTO
Profesional;424.115.578;F;Bogota;Bogota;NO;NO;38;31 a 40;ADULTO JOVEN
Profesional;582.705.163;F;Monteria;Cordoba;NO;NO;47;41 A 50;ADULTO
Asistencial;886.063.107;F;Bogota;Bogota;NO;NO;41;41 A 50;ADULTO
Asistencial;874.624.463;F;Pasto;Narino;NO;NO;52;51 EN ADELANTE;ADULTO MAYOR
Profesional;139.119.359;M;Santa Marta;Magdalena;NO;NO;20;18  A 30;JOVEN
Profesional;978.731.468;F;Cartagena De Indias;Bolivar;NO;NO;46;41 A 50;ADULTO
Profesional;392.626.609;F;Bogota;Bogota;NO;NO;20;18  A 30;JOVEN
Profesional;186.808.008;M;Cali;Valle del Cauca;NO;NO;38;31 a 40;ADULTO JOVEN
Profesional;371.208.539;M;Bogota;Bogota;NO;NO;18;18  A 30;JOVEN
Profesional;236.685.641;F;Villavicencio;Meta;NO;SI;20;18  A 30;JOVEN
Profesional;914.023.894;M;Monteria;Cordoba;NO;NO;31;31 a 40;ADULTO JOVEN
Profesional;954.078.928;F;Bogota;Bogota;NO;NO;49;41 A 50;ADULTO
Profesional;811.085.925;F;Cali;Valle del Cauca;NO;NO;28;18  A 30;JOVEN
Tecnico;145.511.317;M;Bogota;Bogota;NO;NO;29;18  A 30;JOVEN
Profesional;803.468.350;M;Cali;Valle del Cauca;NO;NO;45;41 A 50;ADULTO
Tecnico;858.716.897;F;Bogota;Bogota;NO;NO;60;51 EN ADELANTE;ADULTO MAYOR
Profesional;664.054.681;M;Tunja;Boyaca;NO;NO;23;18  A 30;JOVEN
Profesional;957.548.775;M;Bucaramanga;Santander;NO;NO;39;31 a 40;ADULTO JOVEN
Asistencial;488.478.690;F;Armenia;Quindio;NO;NO;31;31 a 40;ADULTO JOVEN
Profesional;990.837.921;M;Ibague;Tolima;NO;NO;40;31 a 40;ADULTO JOVEN
Tecnico;145.562.314;F;Bogota;Bogota;NO;NO;19;18  A 30;JOVEN
Profesional;219.766.130;F;Popayan;Cauca;NO;NO;58;51 EN ADELANTE;ADULTO MAYOR
Profesional;639.036.274;F;Quibdo;Choco;SI;NO;58;51 EN ADELANTE;ADULTO MAYOR
Profesional;289.239.546;M;Bogota;Bogota;NO;NO;28;18  A 30;JOVEN
Asistencial;957.293.710;F;Valledupar;Cesar;NO;NO;50;41 A 50;ADULTO
Profesional;911.812.340;F;Villavicencio;Meta;NO;NO;47;41 A 50;ADULTO
Profesional;973.994.484;M;Buenaventura;Valle del Cauca;NO;NO;55;51 EN ADELANTE;ADULTO MAYOR
Profesional;953.773.984;F;Armenia;Quindio;NO;NO;59;51 EN ADELANTE;ADULTO MAYOR
Tecnico;199.382.455;M;Cali;Valle del Cauca;NO;NO;31;31 a 40;ADULTO JOVEN
